id,name,lastname,gender,nationality
58,"ABEL, Irene",F,GDR
59,"ABEL, Sten",M,NOR
60,"ABELARDO, Olivier",M,ITA
61,"ABELL, Louis",M,USA
62,"ABERA, Gezahegne",M,ETH
63,"ABERG, Georg",M,SWE
64,"ABERNATHY, Brent",M,USA
65,"ABERNETHY, Moira",F,RSA
66,"ABEYLEGESSE, Elvan",F,TUR
67,"ABILOV, Ismail",M,BUL
68,"ABLOWICH, Edgar Allen",M,USA
69,"ABOIMOV, Viktor",M,URS
70,"ABRAHAM, Attila",M,HUN
71,"ABRAHAM, F.",M,FRA
72,"ABRAHAM, Gary",M,GBR
73,"ABRAHAMIAN, Ara",M,SWE
74,"ABRAHAMS, Harold",M,GBR
75,"ABRAHAMSEN, Isak",M,NOR
76,"ABRAHAMSSON, Erik",M,SWE
77,"ABRAMOV, Pavel",M,RUS
78,"ABRAMOVA, Nelli",F,URS
79,"ABROSIMOVA, Svetlana",F,RUS
80,"ABSAIDOV, Saipulla",M,URS
81,"ABSALON, Julien",M,FRA
82,"ABUKAWA-CHIBA, Ginko",F,JPN
83,"ABUSHAKHMETOV, Aleksandr",M,URS
84,"ABUSHEV, Magomedgasan",M,URS
85,"ACATRINEI, Andreea",F,ROU
86,"ACEDO, Domingo",M,ESP
87,"ACEVEDO SANTIAGO, Anibal",M,PUR
88,"ACEVES, Daniel",M,MEX
89,"ACHEAMPONG, Joachin Yaw",M,GHA
90,"ACHERMANN, Alfred",M,SUI
91,"ACHIK, Abdelhak",M,MAR
92,"ACHIK, Mohamed",M,MAR
93,"ACKE, Fausto",M,SWE
94,"ACKERLEY, Paul",M,NZL
95,"ACKERLY, Charles Edwin",M,USA
96,"ACOSTA DUARTE, Osmai",M,CUB
97,"ACOSTA Y LARA, Martin",M,URU
98,"ACOSTA, Lautaro",M,ARG
99,"ADACH, Kazimierz",M,POL
100,"ADAM, Gordon Belgum",M,USA
101,"ADAM, Jiri",M,TCH
102,"ADAM, John M.",M,GBR
103,"ADAM, Otto",M,GER
104,"ADAM, Pierre",M,FRA
105,"ADAMS, Benjamin W.",M,USA
106,"ADAMS, Edgar H.",M,USA
107,"ADAMS, Harry Loren",M,USA
108,"ADAMS, Neil",M,GBR
109,"ADAMS, Platt",M,USA
110,"ADAMSKI, Herbert",M,GER
111,"ADAMSKI, Jerzy",M,POL
112,"ADDO, Simon",M,GHA
113,"ADEFEMI, Olubayo",M,NGR
114,"ADELEYE, Dele",M,NGR
115,"ADENIKEN, Olapade",M,NGR
116,"ADISSON, Franck",M,FRA
117,"ADJEI, Sammi",M,GHA
118,"ADKINS, Charles",M,USA
119,"ADKINS, Derrick",M,USA
120,"ADLARD, Robert Edward",M,GBR
121,"ADLER, Daniel",M,BRA
122,"ADLER, Egon",M,EUA
123,"ADLER, Margarete",F,AUT
124,"ADLERCREUTZ, Gregor",M,SWE
125,"ADLERCREUTZ, Nils",M,SWE
126,"ADLERSTRAHLE, MÃ¤rtha",F,SWE
127,"ADLERZ, Erik",M,SWE
128,"ADLINGTON, Rebecca",F,GBR
129,"ADOMAITIS, Dainius",M,LTU
130,"ADRIAN, Nathan",M,USA
131,"ADROVICZ, Attila",M,HUN
132,"AEFFKE, Klaus",M,EUA
133,"AFOLABI, Bisi",F,NGR
134,"AFRASILOAIA, Felicia",F,ROU
135,AFRIKA,F,EUA
136,"AGACHE, Lavinia",F,ROU
137,"AGAMENNONI, Luca",M,ITA
138,"AGASSI, Andre",M,USA
139,"AGEEV, Viktor",M,URS
140,"AGERSBORG, Henrik",M,NOR
141,"AGLIOTTI, Marilyn",F,NED
142,"AGOSTON-MENDELENYI, Judit",F,HUN
143,"AGOSTONI, Carlo",M,ITA
144,"AGREN, Erik",M,SWE
145,"AGSTERIBBE, Estella",F,NED
146,"AGUERO, Sergio",M,ARG
147,"AGUERO, Taimaris",F,CUB
148,"AGUILAR, Jose",M,CUB
149,"AGUILERA RUIZ, Jorge Luis",M,CUB
150,"AH MOW-SANTOS, Robyn",F,USA
151,"AHEARNE, Timoty J.",M,GBR
152,"AHKTAR, Hussain",M,IND
153,"AHKTAR, Hussain",M,PAK
154,"AHLBERG, Bruno Valfrid",M,FIN
155,"AHLFORS, Anselm",M,FIN
156,"AHLGREN, Anders",M,SWE
157,"AHLGREN, George Lewis",M,USA
158,"AHLMANN, Christian",M,GER
159,"AHLQVIST, Thure",M,SWE
160,"AHLUND, Olof ""Olle""",M,SWE
161,"AHMAN, Arne",M,SWE
162,"AHMANN-LEIGHTON, Christine",F,USA
163,"AHMANN, JÃ¶rg",M,GER
164,"AHMED SALAH, Hussein",M,DJI
165,"AHN, Byung-Keun",M,KOR
166,"AHNGER, Arthur",M,FIN
167,"AHRENDT, Peter",M,EUA
168,"AHRENHOLZ, Brigitte",F,GDR
169,"AHRENS, Chris",M,USA
170,"AHRENS, Marlene",F,CHI
171,"AHRENS, Thomas",M,EUA
172,"AICEGA, Magdalena",F,ARG
173,"AIGNER, Franz",M,AUT
174,"AIHARA, Nobuyuki",M,JPN
175,"AIHARA, Yutaka",M,JPN
176,"AIKAWA, Ryoji",M,JPN
177,"AIKMAN, Michael Hirst",M,AUS
178,"AINDILI, Eirini",F,GRE
179,"AINSLIE, Ben",M,GBR
180,"AINSWORTH-DAVIS, John Creyghton",M,GBR
181,"AINSWORTH, Kurt",M,USA
182,"AIRAPETYAN, Sos",M,URS
183,"AISHER, Robin Allingham",M,GBR
184,"AITCHISON, Francis Helen",F,GBR
185,"AITCHISON, Gordon",M,CAN
186,"AITKEN, Brett",M,AUS
187,"AITOFF, Vladimir",M,FRA
188,"AJETE, Omar",M,CUB
189,"AJILORE, Ebenezer",M,NGR
190,"AJUNWA, Chioma",F,NGR
191,"AKABUSI, Kriss Kezie Uche",M,GBR
192,"AKAISHI, Kosei",M,JPN
193,"AKAR, Nazuh",M,TUR
194,"AKBAS, HÃ¼seyin",M,TUR
195,"AKDAG, Vehbi",M,TUR
196,"AKERLUND, Gunnar",M,SWE
197,"AKERLUND, Olle",M,SWE
198,"AKERS, Michelle",F,USA
199,"AKHAMINOVA, Elena",F,URS
200,"AKHMEDOV, Bakhtiyar",M,RUS
201,"AKHMEROVA, Liailia",F,URS
202,"AKHREMCHIK, Igor",M,URS
203,"AKHTAR, Rasool",M,PAK
204,"AKHTAR, Ul Islam",M,PAK
205,"AKII-BUA, John",M,UGA
206,"AKIMENKO, Vladislav",M,URS
207,"AKIMOV, Anatoli",M,URS
208,"AKIMOV, Vladimir",M,URS
209,"AKKAEV, Khadzhimurat",M,RUS
210,"AKOBIA, Marina",F,RUS
211,"AKOEV, Artour",M,EUN
212,"AKSENOVA, Lyudmila",F,URS
213,"AKSININ, Aleksandr",M,URS
214,"AKSYONOV, Nikolay",M,RUS
215,"AL SHAMI, Naser",M,SYR
216,ALA,F,EUA
217,"ALACHACHAN, Armenak",M,URS
218,"ALAKHVERDIEV, Arsen",M,URS
219,"ALAKPAROV, Vugar",M,AZE
220,"ALANOVIC, Vladan",M,CRO
221,"ALBARELLI, Fabio",M,ITA
222,"ALBARRAN, Pierre",M,FRA
223,"ALBELDA, David",M,ESP
224,"ALBER, Reinhard",M,FRG
225,"ALBERANI SAMARITANI, Alberto",M,ITA
226,"ALBERT, A.",M,FRA
227,"ALBERT, Florian",M,HUN
228,"ALBERTSEN, Georg",M,DEN
229,"ALBERTSSON, Bertil",M,SWE
230,"ALBIEV, Islam-Beka",M,RUS
231,"ALBINI, Abramo",M,ITA
232,"ALBRECHT, Emile",M,SUI
233,"ALBRECHTSON, John",M,SWE
234,"ALBRITTON, David Donald",M,USA
235,"ALBUL, Anatoli",M,URS
236,"ALBUQUERQUE, Carolina",F,BRA
237,ALDAIR,M,BRA
238,"ALDAMA CABRERA, Andres",M,CUB
239,"ALDEEHANI, Fehaid",M,KUW
240,"ALDEN, Cyril Albert",M,GBR
241,"ALDERMAN, Frederick Pitt",M,USA
242,"ALDERSON-ROSAZZA, Joan Ann",F,USA
243,"ALECHINE, Maxim",M,RUS
244,"ALEGRE, David",M,ESP
245,"ALEGRE, Ramon",M,ESP
246,"ALEID, Khaled",M,KSA
247,"ALEINIK, Vladimir",M,URS
248,"ALEINIKOV, Evgeni",M,RUS
249,"ALEKHIN, Nikolai",M,URS
250,"ALEKNA, Virgilijus",M,LTU
251,ALEKO,M,BUL
252,"ALEKSANDROV, Rumen",M,BUL
253,"ALEKSEEVA, Galina",F,URS
254,"ALEKSEYEV, Vasily",M,URS
255,"ALESSANDRONI, Hugh Vincent",M,USA
256,"ALETTER, Karl",M,GER
257,ALEX SILVA,M,BRA
258,"ALEXANDER, Buffy",F,CAN
259,"ALEXANDER, Gustav Bernhard",M,GBR
260,"ALEXANDER, J.",M,GBR
261,"ALEXANDER, Lisa",F,CAN
262,"ALEXANDER, Michael O'Donel",M,GBR
263,ALEXANDRE PATO,M,BRA
264,"ALEXANDRE, Marc",M,FRA
265,"ALEXANDROVA-POPOVA, Larissa",F,URS
266,"ALEXANDRU, Constantin",M,ROU
267,"ALEXE, Ion",M,ROU
268,"ALEXEEV, Denis",M,RUS
269,"ALFEEVA, Lidia",F,URS
270,"ALFORD, Steven Todd",M,USA
271,"ALFREDSSON, Axel",M,SWE
272,"ALFTHAN, Max",M,FIN
273,"ALI KAHN, Emile",M,FRA
274,"ALI, Muhammad",M,USA
275,"ALIABADI, Rahim",M,IRI
276,"ALIBERT, Gaston",M,FRA
277,"ALIFIRENKO, Sergei",M,RUS
278,ALINE,F,BRA
279,"ALIPOV, Aleksey",M,RUS
280,"ALIPOV, Alexei",M,RUS
281,"ALIU, Deji",M,NGR
282,"ALIYCHUK, Margarita",F,RUS
283,"ALLAERT, Alphonse",M,BEL
284,"ALLALOU, Mohamed",M,ALG
285,"ALLAM, Peter Frank",M,GBR
286,"ALLAN, Alister Millar",M,GBR
287,"ALLAN, Schofield",M,IND
288,"ALLEMANE, Pierre",M,FRA
289,"ALLEN, Chad",M,USA
290,"ALLEN, Kate",F,AUT
291,"ALLEN, Katie",F,AUS
292,"ALLEN, Ray",M,USA
293,"ALLEN, Richard James",M,IND
294,"ALLEN, Sandra",F,AUS
295,"ALLEN, Terry",M,USA
296,"ALLEN, William Charles",M,USA
297,"ALLEN, Wyatt",M,USA
298,"ALLENBY, Kate",F,GBR
299,"ALLERS, Arthur",M,NOR
300,"ALLERT, Ejlert Arild Emil",M,DEN
301,"ALLHUSEN, Derek Swithin",M,GBR
302,"ALLISON, Jan Alistair",M,CAN
303,"ALLMAN-SMITH, Eric Percival",M,GBR
304,"ALLOCHIO, Antonio",M,ITA
305,"ALLUCCI, Carmela",F,ITA
306,"ALMAKTOUM, Shaikh Ahmed",M,UAE
307,"ALMEYDA, Matias",M,ARG
308,"ALMGREN, Gustav",M,SWE
309,"ALMKVIST, Erland",M,SWE
310,"ALMLÃ–F, Erik",M,SWE
311,"ALMSTEDT, Percy",M,SWE
312,"ALNEVIK, Folke",M,SWE
313,"ALNOUDJI, Nicolas",M,CMR
314,"ALOZIE, Gloria",F,NGR
315,"ALSHAMMAR, Therese",F,SWE
316,"ALSHAN, Andrei",M,URS
317,"ALTEPOST, Lutz",M,GER
318,"ALTIMANI, Fernando",M,ITA
319,"ALUPEI, Angela",F,ROU
320,"ALVARES, Ana Margarita",F,BRA
321,"ALVAREZ POZO, Miguel",M,CUB
322,"ALVAREZ, Cristian",M,CHI
323,"ALVES, Aloisio",M,BRA
324,"ALVISI, Alessandro",M,ITA
325,"ALY, Mohamed",M,EGY
326,"ALZIN, Joseph",M,LUX
327,"AMAN, Charles",M,USA
328,"AMANAR, Simona",F,ROU
329,"AMANKWAH, Frank",M,GHA
330,"AMANN, Max",M,GER
331,AMARAL,M,BRA
332,"AMARAL, Dante",M,BRA
333,"AMARANTE, Catello",M,ITA
334,"AMARJIT RANA, Singh",M,IND
335,"AMARTEY, Prince",M,GHA
336,"AMAT CANSINO, Santiago",M,ESP
337,"AMAT FONTANALS, Juan",M,ESP
338,"AMAT FONTANALS, Pedro",M,ESP
339,"AMAT, Jaime",M,ESP
340,"AMAT, Jean Pierre",M,FRA
341,"AMAT, Pablo Pol",M,ESP
342,"AMAT, Pol",M,ESP
343,"AMATO, Serena",F,ARG
344,"AMAVISCA GARATE, Jose",M,ESP
345,"AMAYA, Ivan",M,ESP
346,"AMBARTSUMYAN, David",M,URS
347,"AMBRON, Amedeo",M,ITA
348,"AMBROSE, Efe",M,NGR
349,"AMBROSETTI, Bianca",F,ITA
350,"AMBROSI, Christie",F,USA
351,"AMBROSINI, Ernesto",M,ITA
352,"AMBRUS, Miklos",M,HUN
353,"AMELN, Carl-Robert",M,SWE
354,"AMEND, Rolf-Dieter",M,GDR
355,"AMICO, Leah",F,USA
356,"AMIRAGOV, Slava",M,URS
357,"AMITRANO, Salvatore",M,ITA
358,"AMLONG, Joseph Brian",M,USA
359,"AMLONG, Thomas Kennedy",M,USA
360,"AMMERMANN, Otto",M,FRG
361,"AMOKACHI, Daniel",M,NGR
362,"AMOORE-POLLOCK, Judith Florence",F,AUS
363,"AMOORE, Edward John",M,GBR
364,"AMOUDRUZ, Gustave",M,SUI
365,"AMOYAN, Roman",M,ARM
366,"AMPHLETT, Edgar Montague",M,GBR
367,"AMPLER, Uwe",M,GDR
368,"AMRHEIN, Albert",M,GER
369,"AMSON, Gaston",M,FRA
370,"AMUNDRUD, Gail",F,CAN
371,"AMUNDSEN, Arthur M.",M,NOR
372,"AMUNDSEN, Steinar",M,NOR
373,"AMUNIKE, Emmanuel",M,NGR
374,"AMYOT, Frank",M,CAN
375,"AN, Dae-Hyun",M,KOR
376,"AN, Han-Bong",M,KOR
377,"AN, Jae Hyung",M,KOR
378,"AN, Junghwa",F,KOR
379,"AN, Kum Ae",F,PRK
380,"AN, Young-Su",M,KOR
381,"AN, Zhongxin",F,CHN
382,"ANANIEV, Borislav",M,BUL
383,"ANANKO, Tatyana",F,BLR
384,"ANASTASIA, Flavio",M,ITA
385,"ANASTASIADE, N.",M,ROU
386,"ANASTASOVSKI, Svetlana",F,YUG
387,"ANCIC, Mario",M,CRO
388,"ANCION, Julius Theodoor",M,NED
389,"ANCZOK, Zygmunt",M,POL
390,"ANDERBERG, Olle",M,SWE
391,"ANDERS, Elizabeth Rambo",F,USA
392,"ANDERSEN, Anders",M,DEN
393,"ANDERSEN, Anja Jul",F,DEN
394,"ANDERSEN, Axel Sigurd",M,DEN
395,"ANDERSEN, Camilla",F,DEN
396,"ANDERSEN, Carl Albert",M,NOR
397,"ANDERSEN, Carl-Ebbe",M,DEN
398,"ANDERSEN, Frithjof",M,NOR
399,"ANDERSEN, Greta Marie",F,DEN
400,"ANDERSEN, Hjalmart NÃ¶rregaard",M,DEN
401,"ANDERSEN, JÃ¶rgen Marius",M,NOR
402,"ANDERSEN, Johan Frederik Kobberup",M,DEN
403,"ANDERSEN, Kjerstin",F,NOR
404,"ANDERSEN, Kristine",F,DEN
405,"ANDERSEN, Linda",F,NOR
406,"ANDERSEN, Mads Christian Kruse",M,DEN
407,"ANDERSEN, Niels",M,DEN
408,"ANDERSEN, Ove",M,FIN
409,"ANDERSEN, Paul Kuhlmann",M,DEN
410,"ANDERSEN, Rudolf Svend",M,DEN
411,ANDERSON,M,BRA
412,"ANDERSON, Andrea",F,USA
413,"ANDERSON, Brett",M,USA
414,"ANDERSON, Charles Howard",M,USA
415,"ANDERSON, Craig",M,AUS
416,"ANDERSON, David Rollo",M,AUS
417,"ANDERSON, Gary John",M,NZL
418,"ANDERSON, Gary Lee",M,USA
419,"ANDERSON, John",M,AUS
420,"ANDERSON, John Franklin",M,USA
421,"ANDERSON, John Scott",M,AUS
422,"ANDERSON, Miller Altman",M,USA
423,"ANDERSON, Paul Edward",M,USA
424,"ANDERSON, Paul Richard",M,GBR
425,"ANDERSON, Stephen",M,USA
426,"ANDERSON, Thomas James",M,AUS
427,"ANDERSON, W.",M,FRA
428,"ANDERSON, William",M,CAN
429,"ANDERSON, William Lloyd",M,USA
430,"ANDERSSON-HOLTMAN, Arvid A.",M,SWE
431,"ANDERSSON, Agneta",F,SWE
432,"ANDERSSON, Albert",M,SWE
433,"ANDERSSON, Anders Wilhelm",M,SWE
434,"ANDERSSON, Arvid Leander",M,SWE
435,"ANDERSSON, Erik",M,SWE
436,"ANDERSSON, Frank",M,SWE
437,"ANDERSSON, GÃ¶sta",M,SWE
438,"ANDERSSON, Hjalmar",M,SWE
439,"ANDERSSON, Magnus",M,SWE
440,"ANDERSSON, Mauritz",M,SWE
441,"ANDERSSON, Ramon Dean",M,AUS
442,"ANDERSSON, Robert",M,SWE
443,"ANDERSSON, Robert T.",M,SWE
444,"ANDERSSON, Sune",M,SWE
445,"ANDERSSON, T.",M,SWE
446,"ANDERSSON, Thure",M,SWE
447,"ANDERSSON, Vilhelm",M,SWE
448,"ANDIEV, Soslan",M,URS
449,"ANDO, Kenkichi",M,JPN
450,"ANDO, Misako",F,JPN
451,"ANDO, Yuya",M,JPN
452,"ANDRADA, Manuel",M,ARG
453,"ANDRADE DA SILVA, Jorge Luiz",M,BRA
454,"ANDRADE, Francisco Rebello De",M,POR
455,"ANDRADE, JosÃ©",M,URU
456,ANDRE LUIZ,M,BRA
457,"ANDRE, Georges",M,FRA
458,"ANDRE, William Jules",M,USA
459,"ANDREASEN, Lawrence Edwin",M,USA
460,"ANDREASSEN, Rolf",M,NOR
461,"ANDREEV, Boris",M,URS
462,"ANDREEV, Sergei",M,URS
463,"ANDREEV, Vladimir",M,URS
464,"ANDREI, Alessandro",M,ITA
465,"ANDREI, Vasile",M,ROU
466,ANDREIA,F,BRA
467,ANDREIA ROSA,F,BRA
468,"ANDREIUK, Elena",F,URS
469,"ANDREO, Angel",M,ESP
470,"ANDREOLI, Arnaldo",M,ITA
471,"ANDREOLI, Severino",M,ITA
472,"ANDREOU, Joannis",M,GRE
473,"ANDRESEN, Cyril Romain",M,DEN
474,"ANDREW, Janice",F,AUS
475,"ANDREWS, Arthur F.",M,USA
476,"ANDREWS, Michelle",F,AUS
477,"ANDREWS, Theresa",F,USA
478,"ANDREWS, Walter",M,CAN
479,"ANDREYEV, Vladimir",M,RUS
480,"ANDRIAKOPOULOS, Nicolaos",M,GRE
481,"ANDRIANOV, Nikolay",M,URS
482,"ANDRIASYAN, Arkadi",M,URS
483,"ANDRIC, Dragan",M,YUG
484,"ANDRIEUX, Michel",M,FRA
485,"ANDRIEV, Gheorghe",M,ROU
486,"ANDRS, Vladimir",M,TCH
487,"ANDRUNACHE, Georgeta",F,ROU
488,"ANDRYSEK, Franz Joseph",M,AUT
489,"ANDRYUSHINA, Ekaterina",F,RUS
490,"ANDRZEJEWSKI, Bogdan",M,POL
491,"ANDRZEJUK, Robert",M,POL
492,"ANGANUZZI, Raul",M,ARG
493,"ANGELICA, Maria",F,BRA
494,"ANGELINI, Alberto",M,ITA
495,"ANGELOV, Angel",M,BUL
496,"ANGELOV, Stefan",M,BUL
497,"ANGELOV, Yordan",M,BUL
498,"ANGERER, Nadine",F,GER
499,"ANGIONI, Paolo",M,ITA
500,"ANGLE, Kurt",M,USA
501,"ANGLESIO, Giorgio",M,ITA
502,"ANGULO, Miguel Angel",M,ESP
503,"ANGYAL, Eva",F,HUN
504,"ANICHEBE, Victor",M,NGR
505,"ANIKEEVA, Ekaterina",F,RUS
506,"ANISIMOVA, Natalya",F,URS
507,"ANISIMOVA, Natalya",F,EUN
508,"ANISIMOVA, Tatiana",F,URS
509,"ANISIMOVA, Vera",F,URS
510,ANITA,F,SWE
511,"ANITAS, Herta",F,ROU
512,"ANJUM, Saeed",M,PAK
513,"ANKE, Hannelore",F,GDR
514,"ANKER, E.",M,NOR
515,"ANKER, Johan August",M,NOR
516,"ANKERMAN, Jan Geert",M,NED
517,"ANKOVIC, Andrija",M,YUG
518,"ANNAN, Alyson",F,AUS
519,"ANNAN, Alyson Regina",F,AUS
520,"ANNISON, Harold Edward",M,GBR
521,"ANNO, Noriko",F,JPN
522,"ANNONI, Pietro",M,ITA
523,"ANPILOGOV, Aleksandr",M,URS
524,"ANQUETIL, Jacques",M,FRA
525,"ANSELMI, Renato",M,ITA
526,"ANSELMO, P.",M,URU
527,"ANSERMET, Michel",M,SUI
528,"ANSPACH, Henri",M,BEL
529,"ANSPACH, Paul",M,BEL
530,"ANTAL-RUDAS, Marta",F,HUN
531,"ANTAL, Robert",M,HUN
532,"ANTCZAK, Zdzislaw",M,POL
533,"ANTHONY, Carmelo",M,USA
534,"ANTHONY, Georges",M,BEL
535,"ANTHONY, Michael",M,GUY
536,"ANTI, Michael",M,USA
537,"ANTIBO, Salvatore",M,ITA
538,"ANTIC, Joseph",M,IND
539,"ANTIC, Sava",M,YUG
540,"ANTKIEWICZ, Aleksy",M,POL
541,"ANTONIE, Peter",M,AUS
542,"ANTONIEWICZ, Michal",M,POL
543,"ANTONISKA, Mariela",F,ARG
544,"ANTONOV, Yaroslav",M,URS
545,"ANTONOVA, Elena",F,URS
546,"ANTONOVA, Olena",F,UKR
547,"ANTONSSON, Bertil",M,SWE
548,"ANTONSSON, Hans",M,SWE
549,"ANTOSIEWIC, Eduard",M,YUG
550,"ANTROPOV, Oleg",M,URS
551,"ANTTILA, Kalle",M,FIN
552,"ANTYUKH, Natalya",F,RUS
553,"ANUFRIYEV, Aleksandr",M,URS
554,"AOKI, Mayumi",F,JPN
555,"AOUITA, Said",M,MAR
556,"APAK, Esref",M,TUR
557,"APAM, Onyekachi",M,NGR
558,"APANASSENKO, Dmitri",M,URS
559,"APANASSENKO, Dmitri",M,EUN
560,"APELL, Armand",M,FRA
561,"APOSTEANU, Angelica",F,ROU
562,"APOSTOL, Chira",F,ROU
563,"APOSTOLOV, Stoyan",M,BUL
564,"APPEL, Gabriele Marion",F,FRG
565,"APPELDOORN, Tessa",F,NED
566,"APPLEGARTH, William",M,GBR
567,"APPLETON, Lloyd Otto",M,USA
568,"APTIAOURI, Vladimir",M,URS
569,"ARABO, Claude",M,FRA
570,"ARABOLAZA, Patricio",M,ESP
571,"ARAD, Yael",F,ISR
572,"ARADI, Lajos",M,HUN
573,"ARAGON, Lorenzo",M,CUB
574,"ARAGON, Yovany",M,CUB
575,"ARAI, Masao",M,JPN
576,"ARAI, Nobuo",M,JPN
577,"ARAI, Shigeo",M,JPN
578,"ARAKIDA, Yuko",F,JPN
579,"ARAMNAU, Andrei",M,BLR
580,"ARANZUBIA, Daniel",M,ESP
581,"ARAOU, RenÃ©",M,FRA
582,"ARAPOVIC, Franjo",M,YUG
583,"ARAPOVIC, Franjo",M,CRO
584,"ARATSILOV, Magomedkhan",M,URS
585,"ARAUJO, Alexandra",F,ITA
586,"ARAUJO, Jose",M,BRA
587,"ARAUJO, Marcio",M,BRA
588,"ARBOS PERARNAU, Juan",M,ESP
589,"ARBOS SERRA, Jaime",M,ESP
590,"ARBOS, Eduard",M,ESP
591,"ARBUTINA, Andjelija",F,YUG
592,"ARCAIN, Janeth",F,BRA
593,"ARCEGA APERTE, Fernando",M,ESP
594,"ARCHER, John",M,GBR
595,"ARCHER, Simon",M,GBR
596,"ARCHIBALD, Edward Blake",M,CAN
597,"ARCHIBALD, Geoffrey",M,NZL
598,"ARCIDIACONO, Angelo",M,ITA
599,"ARDEN, Daphne",F,GBR
600,"ARENA, Ermenegildo",M,ITA
601,"ARENCIBIA, Yordanis",M,CUB
602,"AREND, Dietrich",M,GER
603,"ARENDT-JACOBS, Gisela",F,GER
604,"ARENTZ, Charles Archer",M,NOR
605,"ARETS, Paul",M,BEL
606,"ARGENTON, Alessandro",M,ITA
607,"ARGO, Edwin Yancey",M,USA
608,"ARIE, Mark",M,USA
609,"ARIENTI, Luigi",M,ITA
610,"ARIMORI, Yuko",F,JPN
611,"ARIPGADJIEV, Magomed",M,BLR
612,"ARISPE, Pedro",M,URU
613,"ARKHIPENKO, Vasili",M,URS
614,"ARKHIPOVA, Anna",F,RUS
615,"ARMASEL, Dumitru",M,ROU
616,"ARMASESCU, Mihaela",F,ROU
617,"ARMBRUST, Barbara",F,CAN
618,"ARMITAGE, Heather Joy",F,GBR
619,"ARMSTEAD, Raymond",M,USA
620,"ARMSTRONG, Beatrix Eileen",F,GBR
621,"ARMSTRONG, Charles E.",M,USA
622,"ARMSTRONG, Duncan John",M,AUS
623,"ARMSTRONG, Elizabeth",F,USA
624,"ARMSTRONG, Jenny",F,AUS
625,"ARMSTRONG, Joseph",M,AUS
626,"ARMSTRONG, Kristin",F,USA
627,"ARMSTRONG, Lance E.",M,USA
628,"ARMSTRONG, Michael Taylor (Tate)",M,USA
629,"ARNAU, Jordi",M,ESP
630,"ARNAU, Xavi",M,ESP
631,"ARNAUTOVIC, Zlatan",M,YUG
632,"ARNDT, Horst",M,EUA
633,"ARNDT, Judith",F,GER
634,"ARNEBERG, Tor Birger",M,NOR
635,"ARNEMANN, Raul",M,URS
636,"ARNETTE, Jay Hoyland",M,USA
637,"ARNHEITER, Albert",M,GER
638,"ARNOLD, Clemens",M,GER
639,"ARNOLD, Donald John",M,CAN
640,"ARNOLD, Virginie",F,FRA
641,"ARNOUT, Fernand",M,FRA
642,"ARONSSON, Ivar",M,SWE
643,"ARRATE, Mariano",M,ESP
644,"ARREMON, Juan Pedro",M,URU
645,"ARRESE, Jordi",M,ESP
